期刊名称,期刊简称,aisRank,jifRank,ISSN,EISSN,学科门类,总引用次数,影响因子,分区,jci,percentageOAGold,数据库
Stroke and Vascular Neurology,STROKE VASC NEUROL,35/285,42/296,2059-8688,2059-8696,CLINICAL NEUROLOGY,3496.0,4.8,Q1,1.32,100.0,SCIE
Sleep Health,SLEEP HEALTH,68/285,42/296,2352-7218,2352-7226,CLINICAL NEUROLOGY,5144.0,4.8,Q1,1.26,22.86,SCIE
EXPERIMENTAL NEUROLOGY,EXP NEUROL,108/320,73/330,0014-4886,1090-2430,NEUROSCIENCES,21858.0,4.8,Q1,1.09,25.38,SCIE
INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY,INT J NEUROPSYCHOPH,43/285,42/296,1461-1457,1469-5111,CLINICAL NEUROLOGY,7498.0,4.8,Q1,1.07,100.0,SCIE
JOURNAL OF PSYCHIATRY & NEUROSCIENCE,J PSYCHIATR NEUROSCI,87/320,73/330,1180-4882,1488-2434,NEUROSCIENCES,4019.0,4.8,Q1,1.01,100.0,SCIE
REVIEWS IN THE NEUROSCIENCES,REV NEUROSCIENCE,119/320,73/330,0334-1763,2191-0200,NEUROSCIENCES,3666.0,4.8,Q1,0.9,20.0,SCIE
Polish Archives of Internal Medicine-Polskie Archiwum Medycyny Wewnetrznej,POL ARCH INTERN MED,77/315,46/336,0032-3772,1897-9483,"MEDICINE, GENERAL & INTERNAL",2653.0,4.8,Q1,0.84,100.0,SCIE
YALE JOURNAL OF BIOLOGY AND MEDICINE,YALE J BIOL MED,25/105,17/106,0044-0086,1551-4056,BIOLOGY,3676.0,4.8,Q1,0.76,91.47,SCIE
Current Pain and Headache Reports,CURR PAIN HEADACHE R,94/285,42/296,1531-3433,1534-3081,CLINICAL NEUROLOGY,4942.0,4.8,Q1,0.75,19.54,SCIE
Health Data Science,HEALTH DATA SCI,49/180,28/194,,2765-8783,HEALTH CARE SCIENCES & SERVICES,391.0,4.8,Q1,0.75,100.0,ESCI
IET Nanobiotechnology,IET NANOBIOTECHNOL,46/85,14/85,1751-8741,1751-875X,BIOCHEMICAL RESEARCH METHODS,2942.0,4.8,Q1,0.73,100.0,SCIE
JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY,J THORAC CARDIOV SUR,49/229,55/237,0022-5223,1097-685X,CARDIAC & CARDIOVASCULAR SYSTEMS,29498.0,4.7,Q1,1.86,7.81,SCIE
ANESTHESIA AND ANALGESIA,ANESTH ANALG,6/69,9/72,0003-2999,1526-7598,ANESTHESIOLOGY,31686.0,4.7,Q1,1.73,10.98,SCIE
AMERICAN JOURNAL OF PREVENTIVE MEDICINE,AM J PREV MED,29/315,47/336,0749-3797,1873-2607,"MEDICINE, GENERAL & INTERNAL",27112.0,4.7,Q1,1.54,19.27,SCIE
HEALTH POLICY,HEALTH POLICY,56/180,29/194,0168-8510,1872-6054,HEALTH CARE SCIENCES & SERVICES,9762.0,4.7,Q1,1.36,63.03,SCIE
PHARMACOECONOMICS,PHARMACOECONOMICS,16/180,29/194,1170-7690,1179-2027,HEALTH CARE SCIENCES & SERVICES,8214.0,4.7,Q1,1.3,70.85,SCIE
NEUROPHARMACOLOGY,NEUROPHARMACOLOGY,96/320,77/330,0028-3908,1873-7064,NEUROSCIENCES,24274.0,4.7,Q1,1.29,30.46,SCIE
Neurology and Therapy,NEUROL THER,48/285,46/296,2193-8253,2193-6536,CLINICAL NEUROLOGY,3130.0,4.7,Q1,1.26,100.0,SCIE
INTERNATIONAL JOURNAL OF EATING DISORDERS,INT J EAT DISORDER,60/285,50/293,0276-3478,1098-108X,PSYCHIATRY,14790.0,4.7,Q1,1.25,55.88,"SCIE, SSCI"
ACTA PSYCHIATRICA SCANDINAVICA,ACTA PSYCHIAT SCAND,25/285,50/293,0001-690X,1600-0447,PSYCHIATRY,15083.0,4.7,Q1,1.2,68.28,"SCIE, SSCI"
JMIR Serious Games,JMIR SERIOUS GAMES,53/180,29/194,2291-9279,2291-9279,HEALTH CARE SCIENCES & SERVICES,3631.0,4.7,Q1,1.16,98.38,SCIE
IEEE Transactions on Cognitive and Developmental Systems,IEEE T COGN DEV SYST,123/320,77/330,2379-8920,2379-8939,NEUROSCIENCES,4134.0,4.7,Q1,1.11,5.21,SCIE
JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM,J CEREBR BLOOD F MET,55/320,77/330,0271-678X,1559-7016,NEUROSCIENCES,21191.0,4.7,Q1,1.08,39.82,SCIE
JAMIA Open,JAMIA OPEN,51/180,29/194,,2574-2531,HEALTH CARE SCIENCES & SERVICES,2643.0,4.7,Q1,0.98,99.53,ESCI
Journal of Evidence Based Medicine,J EVID-BASED MED,47/315,47/336,1756-5383,1756-5391,"MEDICINE, GENERAL & INTERNAL",1674.0,4.7,Q1,0.94,39.57,SCIE
CURRENT OPINION IN NEUROLOGY,CURR OPIN NEUROL,55/285,46/296,1350-7540,1473-6551,CLINICAL NEUROLOGY,6465.0,4.7,Q1,0.91,18.97,SCIE
Synthetic Biology,SYN BIOL,11/85,15/85,,2397-7000,BIOCHEMICAL RESEARCH METHODS,578.0,4.7,Q1,0.58,100.0,SCIE
Developmental Cognitive Neuroscience,DEV COGN NEUROS-NETH,41/320,81/330,1878-9293,1878-9307,NEUROSCIENCES,8322.0,4.6,Q1,1.53,100.0,SCIE
Journal of Psychopathology and Clinical Science,J PSYCHOPATHOL CLIN,39/285,52/293,2769-7541,2769-755X,PSYCHIATRY,1182.0,4.6,Q1,1.47,62.15,SSCI
PROGRESS IN NEUROBIOLOGY,PROG NEUROBIOL,31/320,81/330,0301-0082,1873-5118,NEUROSCIENCES,14421.0,4.6,Q1,1.29,50.0,SCIE
BMC Psychiatry,BMC PSYCHIATRY,75/285,52/293,,1471-244X,PSYCHIATRY,35871.0,4.6,Q1,1.22,99.94,SCIE
JOURNAL OF PHYSIOLOGY-LONDON,J PHYSIOL-LONDON,69/320,81/330,0022-3751,1469-7793,NEUROSCIENCES,50248.0,4.6,Q1,1.22,58.48,SCIE
Journal of Healthcare Informatics Research,J HEALTHC INFORM RES,40/180,33/194,2509-4971,2509-498X,HEALTH CARE SCIENCES & SERVICES,919.0,4.6,Q1,1.1,54.81,ESCI
Neuro-Oncology Advances,NEURO-ONCOL ADV,52/285,48/296,,2632-2498,CLINICAL NEUROLOGY,4099.0,4.6,Q1,0.98,100.0,ESCI
STRUCTURE,STRUCTURE,7/79,12/81,0969-2126,1878-4186,BIOPHYSICS,15032.0,4.6,Q1,0.94,25.84,SCIE
JOURNAL OF SLEEP RESEARCH,J SLEEP RES,73/285,48/296,0962-1105,1365-2869,CLINICAL NEUROLOGY,12151.0,4.6,Q1,0.92,63.24,SCIE
CNS SPECTRUMS,CNS SPECTRUMS,67/285,48/296,1092-8529,2165-6509,CLINICAL NEUROLOGY,4296.0,4.6,Q1,0.86,81.25,SCIE
CLINICAL AUTONOMIC RESEARCH,CLIN AUTON RES,76/285,48/296,0959-9851,1619-1560,CLINICAL NEUROLOGY,2863.0,4.6,Q1,0.79,35.9,SCIE
JOURNAL OF NEUROCHEMISTRY,J NEUROCHEM,106/320,81/330,0022-3042,1471-4159,NEUROSCIENCES,29950.0,4.6,Q1,0.78,47.25,SCIE
European Cardiology Review,EUR CARDIOL REV,66/229,56/237,1758-3756,1758-3756,CARDIAC & CARDIOVASCULAR SYSTEMS,1277.0,4.6,Q1,0.67,96.59,ESCI
Epilepsy Currents,EPILEPSY CURR,29/285,48/296,1535-7597,1535-7511,CLINICAL NEUROLOGY,1378.0,4.6,Q1,0.51,100.0,SCIE
ACADEMIC MEDICINE,ACAD MED,15/180,34/194,1040-2446,1938-808X,HEALTH CARE SCIENCES & SERVICES,24475.0,4.5,Q1,1.66,10.17,SCIE
Mayo Clinic Proceedings-Innovations Quality & Outcomes,MAYO CLIN P INN QUAL,,34/194,,2542-4548,HEALTH CARE SCIENCES & SERVICES,1543.0,4.5,Q1,1.39,100.0,ESCI
Brain Communications,BRAIN COMMUN,36/285,53/296,,2632-1297,CLINICAL NEUROLOGY,8452.0,4.5,Q1,1.18,99.91,ESCI
Schizophrenia,SCHIZOPHRENIA-UK,58/285,55/293,,2754-6993,PSYCHIATRY,1693.0,4.5,Q1,1.17,100.0,SCIE
MEDICAL CLINICS OF NORTH AMERICA,MED CLIN N AM,37/315,49/336,0025-7125,1557-9859,"MEDICINE, GENERAL & INTERNAL",6839.0,4.5,Q1,1.16,4.29,SCIE
ACS Synthetic Biology,ACS SYNTH BIOL,12/85,16/85,2161-5063,,BIOCHEMICAL RESEARCH METHODS,14596.0,4.5,Q1,1.08,30.22,SCIE
ANNALS OF THE NEW YORK ACADEMY OF SCIENCES,ANN NY ACAD SCI,18/135,24/140,0077-8923,1749-6632,MULTIDISCIPLINARY SCIENCES,45077.0,4.5,Q1,1.04,54.47,SCIE
International Journal of Bipolar Disorders,INT J BIPOLAR DISORD,70/285,55/293,2194-7511,2194-7511,PSYCHIATRY,1316.0,4.5,Q1,0.98,100.0,SCIE
iScience,ISCIENCE,24/135,24/140,,2589-0042,MULTIDISCIPLINARY SCIENCES,57379.0,4.5,Q1,0.92,99.9,SCIE
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,ACTA BIOCH BIOPH SIN,24/79,13/81,1672-9145,1745-7270,BIOPHYSICS,6868.0,4.5,Q1,0.84,99.79,SCIE
BBA Advances,BBA ADV,25/79,13/81,,2667-1603,BIOPHYSICS,516.0,4.5,Q1,0.82,100.0,ESCI
Balkan Medical Journal,BALK MED J,81/315,49/336,2146-3123,2146-3131,"MEDICINE, GENERAL & INTERNAL",1505.0,4.5,Q1,0.81,98.47,SCIE
BIOCONJUGATE CHEMISTRY,BIOCONJUGATE CHEM,25/85,16/85,1043-1802,1520-4812,BIOCHEMICAL RESEARCH METHODS,15983.0,4.5,Q1,0.8,20.26,SCIE
Biophysics Reviews,BIOPHYS REV-US,16/79,13/81,2688-4089,2688-4089,BIOPHYSICS,509.0,4.5,Q1,0.76,28.92,ESCI
PROGRESS IN BIOPHYSICS & MOLECULAR BIOLOGY,PROG BIOPHYS MOL BIO,22/79,13/81,0079-6107,1873-1732,BIOPHYSICS,4726.0,4.5,Q1,0.57,19.35,SCIE
BEHAVIOR THERAPY,BEHAV THER,51/285,57/293,0005-7894,1878-1888,PSYCHIATRY,8105.0,4.4,Q1,1.6,24.61,SSCI
Journal of NeuroInterventional Surgery,J NEUROINTERV SURG,5/18,3/18,1759-8478,1759-8486,NEUROIMAGING,11341.0,4.4,Q1,1.56,14.76,SCIE
EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,EUR CHILD ADOLES PSY,40/285,57/293,1018-8827,1435-165X,PSYCHIATRY,12876.0,4.4,Q1,1.46,57.0,"SCIE, SSCI"
Patient-Patient Centered Outcomes Research,PATIENT,39/180,36/194,1178-1653,1178-1661,HEALTH CARE SCIENCES & SERVICES,2959.0,4.4,Q1,1.23,62.05,SCIE
Current Opinion in Behavioral Sciences,CURR OPIN BEHAV SCI,4/55,4/57,2352-1546,2352-1554,BEHAVIORAL SCIENCES,7949.0,4.4,Q1,1.16,56.49,SCIE
JOURNAL OF PAIN,J PAIN,51/285,54/296,1526-5900,1528-8447,CLINICAL NEUROLOGY,15525.0,4.4,Q1,1.14,24.86,SCIE
Child and Adolescent Mental Health,CHILD ADOL MENT H-UK,30/285,57/293,1475-357X,1475-3588,PSYCHIATRY,2680.0,4.4,Q1,1.1,67.01,"SCIE, SSCI"
HEART,HEART,46/229,57/237,1355-6037,1468-201X,CARDIAC & CARDIOVASCULAR SYSTEMS,19455.0,4.4,Q1,1.09,27.59,SCIE
CANADIAN JOURNAL OF PSYCHIATRY-REVUE CANADIENNE DE PSYCHIATRIE,CAN J PSYCHIAT,71/285,57/293,0706-7437,1497-0015,PSYCHIATRY,8175.0,4.4,Q1,1.05,60.0,"SCIE, SSCI"
NEJM Catalyst Innovations in Care Delivery,NEJM CATAL INNOV CAR,25/180,36/194,,2642-0007,HEALTH CARE SCIENCES & SERVICES,1113.0,4.4,Q1,1.05,0.0,ESCI
GENERAL HOSPITAL PSYCHIATRY,GEN HOSP PSYCHIAT,46/285,57/293,0163-8343,1873-7714,PSYCHIATRY,8301.0,4.4,Q1,0.98,22.09,"SCIE, SSCI"
Pain and Therapy,PAIN THER,77/285,54/296,2193-8237,2193-651X,CLINICAL NEUROLOGY,3045.0,4.4,Q1,0.97,100.0,SCIE
BMC BIOINFORMATICS,BMC BIOINFORMATICS,13/85,18/85,1471-2105,1471-2105,BIOCHEMICAL RESEARCH METHODS,55978.0,4.4,Q1,0.96,100.0,SCIE
JOURNAL OF NEURAL TRANSMISSION,J NEURAL TRANSM,96/285,54/296,0300-9564,1435-1463,CLINICAL NEUROLOGY,9369.0,4.4,Q1,0.86,46.68,SCIE
Echo Research and Practice,ECHO RES PRACT,52/229,57/237,2055-0464,2055-0464,CARDIAC & CARDIOVASCULAR SYSTEMS,769.0,4.4,Q1,0.83,100.0,ESCI
Journal of Cardiovascular Aging,J CARDIOVASC AGING,56/229,57/237,,2768-5993,CARDIAC & CARDIOVASCULAR SYSTEMS,318.0,4.4,Q1,0.67,72.58,ESCI
Dental and Medical Problems,DENT MED PROBL,110/315,52/336,1644-387X,2300-9020,"MEDICINE, GENERAL & INTERNAL",1812.0,4.3,Q1,1.38,100.0,ESCI
Acta Crystallographica Section D-Structural Biology,ACTA CRYSTALLOGR D,10/85,19/85,2059-7983,2059-7983,BIOCHEMICAL RESEARCH METHODS,19882.0,4.3,Q1,1.12,78.5,SCIE
EUROPEAN JOURNAL OF NEUROLOGY,EUR J NEUROL,59/285,57/296,1351-5101,1468-1331,CLINICAL NEUROLOGY,18833.0,4.3,Q1,1.1,84.23,SCIE
Pain Reports,PAIN REP,9/69,10/72,,2471-2531,ANESTHESIOLOGY,2727.0,4.3,Q1,1.07,100.0,ESCI
PARKINSONISM & RELATED DISORDERS,PARKINSONISM RELAT D,71/285,57/296,1353-8020,1873-5126,CLINICAL NEUROLOGY,15104.0,4.3,Q1,1.03,21.57,SCIE
Drug Healthcare and Patient Safety,DRUG HEALTHC PATIENT,96/180,38/194,1179-1365,1179-1365,HEALTH CARE SCIENCES & SERVICES,621.0,4.3,Q1,0.94,100.0,ESCI
Biology-Basel,BIOLOGY-BASEL,30/105,19/106,,2079-7737,BIOLOGY,32407.0,4.3,Q1,0.89,99.98,SCIE
Clinical Proteomics,CLIN PROTEOM,22/85,19/85,1542-6416,1559-0275,BIOCHEMICAL RESEARCH METHODS,1649.0,4.3,Q1,0.87,100.0,SCIE
FASEB JOURNAL,FASEB J,23/105,19/106,0892-6638,1530-6860,BIOLOGY,52322.0,4.3,Q1,0.85,42.02,SCIE
Expert Review of Neurotherapeutics,EXPERT REV NEUROTHER,89/285,57/296,1473-7175,1744-8360,CLINICAL NEUROLOGY,6194.0,4.3,Q1,0.68,7.36,SCIE
European Journal of Psychotraumatology,EUR J PSYCHOTRAUMATO,65/285,62/293,2000-8198,2000-8066,PSYCHIATRY,8733.0,4.2,Q1,1.26,100.0,SSCI
JOURNAL OF CLINICAL PSYCHIATRY,J CLIN PSYCHIAT,38/285,62/293,0160-6689,1555-2101,PSYCHIATRY,18359.0,4.2,Q1,1.18,1.44,"SCIE, SSCI"
APPETITE,APPETITE,11/55,5/57,0195-6663,1095-8304,BEHAVIORAL SCIENCES,28139.0,4.2,Q1,1.12,52.22,SCIE
PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY,PROG NEURO-PSYCHOPH,63/285,61/296,0278-5846,1878-4216,CLINICAL NEUROLOGY,15762.0,4.2,Q1,1.11,26.79,SCIE
NeuroImage-Clinical,NEUROIMAGE-CLIN,4/18,4/18,2213-1582,2213-1582,NEUROIMAGING,16320.0,4.2,Q1,1.07,99.83,SCIE
Translational Stroke Research,TRANSL STROKE RES,55/285,61/296,1868-4483,1868-601X,CLINICAL NEUROLOGY,4832.0,4.2,Q1,1.01,32.94,SCIE
Korean Journal of Pain,KOREAN J PAIN,140/285,61/296,2005-9159,2093-0569,CLINICAL NEUROLOGY,1467.0,4.2,Q1,0.99,100.0,SCIE
IEEE TRANSACTIONS ON NANOBIOSCIENCE,IEEE T NANOBIOSCI,50/85,21/85,1536-1241,1558-2639,BIOCHEMICAL RESEARCH METHODS,2409.0,4.2,Q1,0.95,4.57,SCIE
Neurocritical Care,NEUROCRIT CARE,81/285,61/296,1541-6933,1556-0961,CLINICAL NEUROLOGY,7605.0,4.2,Q1,0.94,29.56,SCIE
International Journal of Mental Health Systems,INT J MENT HEALTH SY,72/285,62/293,1752-4458,1752-4458,PSYCHIATRY,3416.0,4.2,Q1,0.93,100.0,SSCI
Current Research in Structural Biology,CURR RES STRUCT BIOL,20/79,18/81,,2665-928X,BIOPHYSICS,523.0,4.2,Q1,0.83,100.0,ESCI
Machine Learning-Science and Technology,MACH LEARN-SCI TECHN,23/135,26/140,,2632-2153,MULTIDISCIPLINARY SCIENCES,4910.0,4.2,Q1,0.79,100.0,SCIE
Forecasting,FORECASTING-BASEL,45/135,26/140,,2571-9394,MULTIDISCIPLINARY SCIENCES,809.0,4.2,Q1,0.7,100.0,ESCI
PRIMARY CARE,PRIMARY CARE,50/315,53/336,0095-4543,1558-299X,"MEDICINE, GENERAL & INTERNAL",2740.0,4.1,Q1,2.14,2.63,SCIE
Health Affairs Scholar,HLTH AFF SCH,19/180,39/194,,2976-5390,HEALTH CARE SCIENCES & SERVICES,1045.0,4.1,Q1,1.2,99.0,ESCI
Research Involvement and Engagement,RES INVOLVE ENGAGEM,,39/194,,2056-7529,HEALTH CARE SCIENCES & SERVICES,2678.0,4.1,Q1,1.17,100.0,ESCI
JCPP Advances,JCPP ADV,52/285,66/293,2692-9384,2692-9384,PSYCHIATRY,1050.0,4.1,Q1,1.16,99.57,ESCI
Mindfulness,MINDFULNESS,93/285,66/293,1868-8527,1868-8535,PSYCHIATRY,11953.0,4.1,Q1,1.14,49.2,SSCI
SLEEP MEDICINE,SLEEP MED,83/285,65/296,1389-9457,1878-5506,CLINICAL NEUROLOGY,21113.0,4.1,Q1,1.12,30.82,SCIE
JOURNAL OF GENERAL INTERNAL MEDICINE,J GEN INTERN MED,20/180,39/194,0884-8734,1525-1497,HEALTH CARE SCIENCES & SERVICES,35343.0,4.1,Q1,1.11,30.44,SCIE
Multiple Sclerosis Journal,MULT SCLER J,37/285,65/296,1352-4585,1477-0970,CLINICAL NEUROLOGY,13601.0,4.1,Q1,1.04,35.48,SCIE
AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY,AUST NZ J PSYCHIAT,43/285,66/293,0004-8674,1440-1614,PSYCHIATRY,9187.0,4.1,Q1,0.99,66.14,"SCIE, SSCI"
Journal of Anesthesia Analgesia and Critical Care,J ANESTH ANALG CRIT,20/69,11/72,,2731-3786,ANESTHESIOLOGY,792.0,4.1,Q1,0.85,100.0,ESCI
Internal and Emergency Medicine,INTERN EMERG MED,74/315,53/336,1828-0447,1970-9366,"MEDICINE, GENERAL & INTERNAL",5859.0,4.1,Q1,0.81,38.76,SCIE
EUROPEAN JOURNAL OF CLINICAL INVESTIGATION,EUR J CLIN INVEST,56/315,53/336,0014-2972,1365-2362,"MEDICINE, GENERAL & INTERNAL",8955.0,4.1,Q1,0.75,49.9,SCIE
NEUROSCIENTIST,NEUROSCIENTIST,38/285,65/296,1073-8584,1089-4098,CLINICAL NEUROLOGY,5962.0,4.1,Q1,0.7,33.77,SCIE
Natural Sciences,NAT SCI-GER,31/135,28/140,2698-6248,2698-6248,MULTIDISCIPLINARY SCIENCES,521.0,4.1,Q1,0.5,100.0,ESCI
Sci,SCI-BASEL,,28/140,,2413-4155,MULTIDISCIPLINARY SCIENCES,957.0,4.1,Q1,0.5,100.0,ESCI
Korean Journal of Anesthesiology,KOREAN J ANESTHESIOL,7/69,12/72,2005-6419,2005-7563,ANESTHESIOLOGY,5545.0,4.0,Q1,2.12,100.0,SCIE
MEDICAL TEACHER,MED TEACH,34/180,42/194,0142-159X,1466-187X,HEALTH CARE SCIENCES & SERVICES,15537.0,4.0,Q1,1.5,7.33,SCIE
NEUROREHABILITATION AND NEURAL REPAIR,NEUROREHAB NEURAL RE,53/285,68/296,1545-9683,1552-6844,CLINICAL NEUROLOGY,7792.0,4.0,Q1,1.43,32.76,SCIE
REGIONAL ANESTHESIA AND PAIN MEDICINE,REGION ANESTH PAIN M,14/69,12/72,1098-7339,1532-8651,ANESTHESIOLOGY,8824.0,4.0,Q1,1.37,16.77,SCIE
PAIN MEDICINE,PAIN MED,16/69,12/72,1526-2375,1526-4637,ANESTHESIOLOGY,11289.0,4.0,Q1,1.15,30.8,SCIE
Biological Psychiatry: Global Open Science,BIOL PSYCHIAT-GLOB O,44/285,69/293,2667-1743,2667-1743,PSYCHIATRY,1447.0,4.0,Q1,1.1,100.0,ESCI
Interface Focus,INTERFACE FOCUS,17/105,21/106,2042-8898,2042-8901,BIOLOGY,3417.0,4.0,Q1,1.07,62.02,SCIE
AIMS Public Health,AIMS PUBLIC HEALTH,87/180,42/194,2327-8994,2327-8994,HEALTH CARE SCIENCES & SERVICES,1548.0,4.0,Q1,1.06,100.0,ESCI
JMIR Infodemiology,JMIR INFODEMIOL,81/180,42/194,,2564-1891,HEALTH CARE SCIENCES & SERVICES,564.0,4.0,Q1,1.03,98.57,ESCI
JOURNAL OF PAIN AND SYMPTOM MANAGEMENT,J PAIN SYMPTOM MANAG,64/285,68/296,0885-3924,1873-6513,CLINICAL NEUROLOGY,16803.0,4.0,Q1,1.03,19.51,SCIE
Therapeutic Advances in Neurological Disorders,THER ADV NEUROL DISO,57/285,68/296,1756-2856,1756-2864,CLINICAL NEUROLOGY,3490.0,4.0,Q1,1.03,100.0,SCIE
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B-BIOLOGY,J PHOTOCH PHOTOBIO B,36/79,19/81,1011-1344,1873-2682,BIOPHYSICS,16103.0,4.0,Q1,0.96,15.37,SCIE
BJPsych Open,BJPSYCH OPEN,69/285,69/293,2056-4724,2056-4724,PSYCHIATRY,5248.0,4.0,Q1,0.94,99.54,"SCIE, SSCI"
Neurological Research and Practice,NEUROL RES PRACT,46/285,68/296,,2524-3489,CLINICAL NEUROLOGY,1493.0,4.0,Q1,0.94,100.0,ESCI
BEHAVIOURAL NEUROLOGY,BEHAV NEUROL,171/285,68/296,0953-4180,1875-8584,CLINICAL NEUROLOGY,2361.0,4.0,Q1,0.85,100.0,SCIE
Journal of Movement Disorders,J MOV DISORD,104/285,68/296,2005-940X,2093-4939,CLINICAL NEUROLOGY,1150.0,4.0,Q1,0.72,100.0,SCIE
Neurodegenerative Diseases,NEURODEGENER DIS,162/285,68/296,1660-2854,1660-2862,CLINICAL NEUROLOGY,1459.0,4.0,Q1,0.58,52.0,SCIE
CLINICAL MEDICINE,CLIN MED,55/315,59/336,1470-2118,1473-4893,"MEDICINE, GENERAL & INTERNAL",6122.0,3.9,Q1,1.6,99.71,SCIE
Autism Research,AUTISM RES,5/55,6/57,1939-3792,1939-3806,BEHAVIORAL SCIENCES,10263.0,3.9,Q1,1.39,54.67,SCIE
Diagnostic and Prognostic Research,DIAGN PROGN RES,,59/336,,2397-7523,"MEDICINE, GENERAL & INTERNAL",961.0,3.9,Q1,1.16,100.0,ESCI
Health and Quality of Life Outcomes,HEALTH QUAL LIFE OUT,48/180,46/194,,1477-7525,HEALTH CARE SCIENCES & SERVICES,16330.0,3.9,Q1,1.16,100.0,SCIE
PSYCHOLOGY OF SPORT AND EXERCISE,PSYCHOL SPORT EXERC,25/93,13/93,1469-0292,1878-5476,PSYCHOLOGY,11478.0,3.9,Q1,1.15,49.5,SCIE
International Journal of Mental Health Nursing,INT J MENT HEALTH NU,100/285,71/293,1445-8330,1447-0349,PSYCHIATRY,5943.0,3.9,Q1,1.09,65.67,"SCIE, SSCI"
EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE,EUR ARCH PSY CLIN N,81/285,71/293,0940-1334,1433-8491,PSYCHIATRY,7120.0,3.9,Q1,1.05,47.28,SCIE
Digital Health,DIGIT HEALTH,74/180,46/194,2055-2076,2055-2076,HEALTH CARE SCIENCES & SERVICES,9301.0,3.9,Q1,1.02,99.72,SCIE
PSYCHO-ONCOLOGY,PSYCHO-ONCOLOGY,20/93,13/93,1057-9249,1099-1611,PSYCHOLOGY,15913.0,3.9,Q1,0.99,52.73,SCIE
JMIR Human Factors,JMIR HUM FACTORS,72/180,46/194,2292-9495,2292-9495,HEALTH CARE SCIENCES & SERVICES,3291.0,3.9,Q1,0.91,99.67,ESCI
BIPOLAR DISORDERS,BIPOLAR DISORD,36/285,71/293,1398-5647,1399-5618,PSYCHIATRY,5403.0,3.9,Q1,0.85,59.26,SCIE
Cambridge Prisms-Global Mental Health,CAMB PRISM-GLOB MENT,102/285,71/293,2054-4251,2054-4251,PSYCHIATRY,880.0,3.9,Q1,0.76,99.46,SCIE
Life-Basel,LIFE-BASEL,32/105,22/106,,2075-1729,BIOLOGY,33596.0,3.9,Q1,0.73,99.97,SCIE
EUROPEAN JOURNAL OF PAIN,EUR J PAIN,13/69,15/72,1090-3801,1532-2149,ANESTHESIOLOGY,10263.0,3.8,Q1,1.04,67.28,SCIE
CANADIAN FAMILY PHYSICIAN,CAN FAM PHYSICIAN,54/315,61/336,0008-350X,1715-5258,"MEDICINE, GENERAL & INTERNAL",4822.0,3.8,Q1,0.95,99.21,SCIE
Diagnostics,DIAGNOSTICS,76/315,61/336,,2075-4418,"MEDICINE, GENERAL & INTERNAL",50959.0,3.8,Q1,0.89,99.95,SCIE
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR AND CELL BIOLOGY OF LIPIDS,BBA-MOL CELL BIOL L,18/79,20/81,1388-1981,1879-2618,BIOPHYSICS,11622.0,3.8,Q1,0.74,35.64,SCIE
Discover Applied Sciences,DISCOV APPL SCI,53/135,30/140,,3004-9261,MULTIDISCIPLINARY SCIENCES,4112.0,3.8,Q1,0.63,99.78,ESCI
Frontiers in Big Data,FRONT BIG DATA,32/135,30/140,,2624-909X,MULTIDISCIPLINARY SCIENCES,2258.0,3.8,Q1,0.52,100.0,ESCI
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,PHILOS T R SOC A,21/135,32/140,1364-503X,1471-2962,MULTIDISCIPLINARY SCIENCES,29724.0,3.7,Q1,0.93,45.78,SCIE
NEUROPSYCHOBIOLOGY,NEUROPSYCHOBIOLOGY,27/93,15/93,0302-282X,1423-0224,PSYCHOLOGY,2861.0,3.7,Q1,0.86,38.82,SCIE
International Journal of Medical Sciences,INT J MED SCI,79/315,63/336,1449-1907,1449-1907,"MEDICINE, GENERAL & INTERNAL",9910.0,3.7,Q1,0.8,100.0,SCIE
Scientific African,SCI AFR,49/135,32/140,2468-2276,2468-2276,MULTIDISCIPLINARY SCIENCES,8957.0,3.7,Q1,0.73,99.93,ESCI
STRESS-THE INTERNATIONAL JOURNAL ON THE BIOLOGY OF STRESS,STRESS,19/55,7/57,1025-3890,1607-8888,BEHAVIORAL SCIENCES,3748.0,3.7,Q1,0.72,100.0,SCIE
Canadian Journal of Anesthesia-Journal canadien d anesthesie,CAN J ANESTH,15/69,16/72,0832-610X,1496-8975,ANESTHESIOLOGY,6915.0,3.6,Q1,1.26,25.41,SCIE
JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,J GERONTOL B-PSYCHOL,16/93,16/93,1079-5014,1758-5368,PSYCHOLOGY,15925.0,3.6,Q1,1.15,25.0,SCIE
